,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
2281,"{'learning_rate_init': 0.0001, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9680825285057323,0.564,100,0.0001,70,1
36,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 10}",0.2270307439337167,0.206,10,0.0001,80,1
288,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 3, 'hidden_layer_sizes': 20}",0.3571894596053897,0.26,20,0.0001,80,3
537,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 30}",0.7199161514679119,0.448,30,0.0001,80,2
787,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 40}",0.797976976081867,0.462,40,0.0001,80,2
1039,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 50}",0.8590514261947968,0.486,50,0.0001,80,4
1289,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 60}",0.897001553868031,0.512,60,0.0001,80,4
1535,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9449358299919536,0.54,70,0.0001,80,0
1785,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9169809037939345,0.572,80,0.0001,80,0
2035,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 0, 'hidden_layer_sizes': 90}",0.966011877572956,0.57,90,0.0001,80,0
2286,"{'learning_rate_init': 0.0001, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9860508130219606,0.566,100,0.0001,80,1
41,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 10}",0.23306697344390248,0.204,10,0.0001,90,1
293,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 3, 'hidden_layer_sizes': 20}",0.38011823891980195,0.256,20,0.0001,90,3
542,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 30}",0.761891713266686,0.47,30,0.0001,90,2
792,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 2, 'hidden_layer_sizes': 40}",0.831968131790072,0.498,40,0.0001,90,2
1044,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 50}",0.8860768182324356,0.496,50,0.0001,90,4
1294,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9269733420130178,0.514,60,0.0001,90,4
1540,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9679691539968222,0.548,70,0.0001,90,0
1790,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9479898040709189,0.574,80,0.0001,90,0
2040,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9800297499175793,0.574,90,0.0001,90,0
